http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,Access To Services,Education Skills And Training,Employment,Health,Housing,Income,SIMD
http://statistics.gov.scot/id/statistical-geography/S01003437,S01003437,5534,1517,4154,1879,300,3625,2939
http://statistics.gov.scot/id/statistical-geography/S01003438,S01003438,4170,939,3153,1316,342,2685,2019
http://statistics.gov.scot/id/statistical-geography/S01003439,S01003439,1928,577,5,69,733,453,125
http://statistics.gov.scot/id/statistical-geography/S01003440,S01003440,3908,1472,546,779,641,906,737
http://statistics.gov.scot/id/statistical-geography/S01003441,S01003441,6093,158,90,108,77,219,111
http://statistics.gov.scot/id/statistical-geography/S01003442,S01003442,3538,251,76,86,676,71,76
http://statistics.gov.scot/id/statistical-geography/S01003443,S01003443,2511,60,150,227,428,48,72
http://statistics.gov.scot/id/statistical-geography/S01003444,S01003444,6400,11,86,36,88,139,53
http://statistics.gov.scot/id/statistical-geography/S01003445,S01003445,2613,517,299,330,515,120,208
http://statistics.gov.scot/id/statistical-geography/S01003446,S01003446,5610,294,2759,2521,132,2750,1784
http://statistics.gov.scot/id/statistical-geography/S01003447,S01003447,812,85,501,83,134,938,253
http://statistics.gov.scot/id/statistical-geography/S01003448,S01003448,6158,906,367,969,746,1106,702
http://statistics.gov.scot/id/statistical-geography/S01003449,S01003449,5409,832,2428,1860,104,1831,1634
http://statistics.gov.scot/id/statistical-geography/S01003450,S01003450,4979,714,690,1033,180,983,732
http://statistics.gov.scot/id/statistical-geography/S01003451,S01003451,6249,1467,2128,2292,686,2082,2061
http://statistics.gov.scot/id/statistical-geography/S01003452,S01003452,3418,516,3245,985,2174,3929,2200
http://statistics.gov.scot/id/statistical-geography/S01003453,S01003453,5168,1493,3529,2577,519,2236,2499
http://statistics.gov.scot/id/statistical-geography/S01003454,S01003454,6250,434,2740,1315,283,1070,1281
http://statistics.gov.scot/id/statistical-geography/S01003455,S01003455,2969,38,36,133,218,10,10
http://statistics.gov.scot/id/statistical-geography/S01003456,S01003456,3969,49,23,65,21,4,4
http://statistics.gov.scot/id/statistical-geography/S01003457,S01003457,5369,82,122,142,301,122,100
http://statistics.gov.scot/id/statistical-geography/S01003458,S01003458,2769,387,565,313,720,608,442
http://statistics.gov.scot/id/statistical-geography/S01003459,S01003459,3879,537,1016,591,252,296,498
http://statistics.gov.scot/id/statistical-geography/S01003460,S01003460,5238,2573,4009,1401,318,3321,2913
